FECHA,USDT
2/16/2025,11.19
2/17/2025,11.19
2/18/2025,11.22
2/19/2025,11.22
2/20/2025,11.27
2/21/2025,11.27
2/22/2025,11.28
2/23/2025,11.27
2/24/2025,11.26
2/25/2025,11.29
2/26/2025,11.3
2/27/2025,11.44
2/28/2025,11.35
3/1/2025,11.36
3/2/2025,11.32
3/3/2025,11.29
3/4/2025,11.28
3/5/2025,11.28
3/6/2025,11.28
3/7/2025,11.28
3/8/2025,11.26
3/9/2025,11.28
3/10/2025,11.27
3/11/2025,11.45
3/12/2025,11.9
3/13/2025,12.46
3/14/2025,11.85
3/15/2025,11.74
3/16/2025,11.85
3/17/2025,11.77
3/18/2025,11.86
3/19/2025,11.92
3/20/2025,12
3/21/2025,12.03
3/22/2025,12.01
3/23/2025,12.02
3/24/2025,12.03
3/25/2025,12.14
3/26/2025,12.34
3/27/2025,12.4
3/28/2025,12.38
3/29/2025,12.385
3/30/2025,12.38
3/31/2025,12.39
4/1/2025,12.43
4/2/2025,12.61
4/3/2025,12.76
4/4/2025,12.83
4/5/2025,12.86
4/6/2025,12.85
4/7/2025,12.94
4/8/2025,13.07
4/9/2025,13.36
4/10/2025,13.46
4/11/2025,13.53
4/12/2025,13.41
4/13/2025,13.41
4/14/2025,13.43
4/15/2025,13.41
4/16/2025,13.43
4/17/2025,13.54
4/18/2025,13.5
4/19/2025,13.48
4/20/2025,13.48
4/21/2025,13.46
4/22/2025,13.52
4/23/2025,13.7
4/24/2025,14.1
4/25/2025,14.12
4/26/2025,14.23
4/27/2025,14.55
4/28/2025,14.7
4/29/2025,15.19
4/30/2025,15.24
5/1/2025,15.28
5/2/2025,15.21
5/3/2025,15.23
5/4/2025,15.19
5/5/2025,15.2
5/6/2025,15.2
5/7/2025,15.35
5/8/2025,15.4
5/9/2025,15.49
5/10/2025,15.45
5/11/2025,15.44
5/12/2025,15.53
5/13/2025,15.99
5/14/2025,16.17
5/15/2025,17.75
5/16/2025,17.82
5/17/2025,17.58
5/18/2025,17.6
5/19/2025,17.56
5/20/2025,17.47
5/21/2025,17.46
5/22/2025,17.45
5/23/2025,17.33
5/24/2025,16.36
5/25/2025,16.47
5/26/2025,16.41
5/27/2025,16.35
5/28/2025,16.4
5/29/2025,16.51
5/30/2025,16.47
5/31/2025,16.4
6/1/2025,16.37
6/2/2025,16.32
6/3/2025,16.33
6/4/2025,16.32
6/5/2025,16.34
6/6/2025,16.33
6/7/2025,16.32
6/8/2025,16.3
6/9/2025,16.26
6/10/2025,16.32
6/11/2025,16.31
6/12/2025,16.36
6/13/2025,16.35
6/14/2025,16.36
6/15/2025,16.3
6/16/2025,16.32
6/17/2025,16.31
6/18/2025,16.27
6/19/2025,16.23
6/20/2025,16.19
6/21/2025,15.89
6/22/2025,16.01
6/23/2025,16.04
6/24/2025,16.02
6/25/2025,16.03
6/26/2025,16.03
6/27/2025,15.88
6/28/2025,15.58
6/29/2025,15.55
6/30/2025,15.01
